Model and feature tuning leaderboard (scorer=RMSE):
+-------------+-----------+-----------------+--------------------+-----------------+-------------------------+----------------------------+---------------+---------+----------+---------------+-----------------+-----------+------------------+-------------+------------+--------------+---------------------+--------------------+-------------------+----------------------------+----------------+----------+---------------+-------------+----------------+-------------+-------------+--------------+--------------------+----------+-------------+-------------+------------------+---------------+----------+-------------+------------------+------------+------------------------+----------------------------+----------------+--------------+----------+-----------------+-------------+--------------+--------------+--------------+------------+----------+--------+
|   job order | booster   | boosting_type   |   colsample_bytree | debug_verbose   | early_stopping_rounds   | early_stopping_threshold   | eval_metric   |   gamma | gpu_id   | grow_policy   | learning_rate   |   max_bin |   max_delta_step |   max_depth | max_drop   |   max_leaves |   min_child_samples | min_child_weight   |   min_data_in_bin | monotonicity_constraints   | n_estimators   | n_gpus   | num_classes   | objective   | random_state   | rate_drop   |   reg_alpha |   reg_lambda |   scale_pos_weight | silent   | skip_drop   |   subsample | subsample_freq   | tree_method   |   scores |   scores_sd |   training_times |   rel_time |   optimal_n_estimators |   rel_optimal_n_estimators |   ngenes_start |   ngenes_max |   ngenes |   nfeatures_max |   nfeatures | job status   |   rel_scores |   complexity |    z-score | isbest   | good   |
|-------------+-----------+-----------------+--------------------+-----------------+-------------------------+----------------------------+---------------+---------+----------+---------------+-----------------+-----------+------------------+-------------+------------+--------------+---------------------+--------------------+-------------------+----------------------------+----------------+----------+---------------+-------------+----------------+-------------+-------------+--------------+--------------------+----------+-------------+-------------+------------------+---------------+----------+-------------+------------------+------------+------------------------+----------------------------+----------------+--------------+----------+-----------------+-------------+--------------+--------------+--------------+------------+----------+--------|
|          53 | gbtree    | gbdt            |               0.8  | 0               | 20                      | 0                          | rmse          |   0.001 | 0        | lossguide     | 0.02            |        64 |                0 |           0 |            |           32 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      |             |         0   |          0   |                  1 | True     |             |         1   |                  | gpu_hist      |  422.036 |     13.2917 |         6.65959  |  0.448199  |                    588 |                   0.98     |             43 |       165089 |        3 |          165089 |           3 | PASSED       |     1        |      94.08   |   0        | *        | +      |
|          70 | gbtree    | gbdt            |               0.9  | 0               | 20                      | 0                          | rmse          |   0     | 0        | lossguide     | 0.01            |       256 |                0 |           0 |            |          128 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      |             |         0.1 |          0   |                  1 | True     |             |         1   |                  | gpu_hist      |  433.676 |     17.5941 |        10.8302   |  0.728891  |                    472 |                   0.786667 |             43 |        10410 |        3 |           10410 |           3 | PASSED       |     0.97316  |     302.08   |   0.875716 |          |        |
|          74 | gbtree    | gbdt            |               0.65 | 0               | 20                      | 0                          | rmse          |   0.001 | 0        | lossguide     | 0.05            |        64 |                0 |           0 |            |         1024 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      |             |         0   |          1   |                  1 | True     |             |         0.7 |                  | gpu_hist      |  438.972 |     13.007  |         4.23637  |  0.285113  |                    491 |                   0.818333 |             43 |         5206 |        9 |            5206 |           7 | PASSED       |     0.961418 |    7541.76   |   1.27421  |          |        |
|          17 | lightgbm  | gbdt            |               0.7  | 0               | 20                      | 0                          | rmse          |   0     | 0        | depthwise     | 0.05            |       128 |                0 |           7 | 50         |            0 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      | 0.05        |         0   |          0.1 |                  1 | True     | 0.5         |         0.9 | 10               | gpu_hist      |  439.813 |     16.7382 |         1.72667  |  0.116207  |                    210 |                   0.35     |             43 |    100000000 |        4 |       100000000 |           4 | PASSED       |     0.95958  |     181.499  |   1.33746  |          |        |
|          51 | gbtree    | gbdt            |               0.9  | 0               | 20                      | 0                          | rmse          |   0     | 0        | depthwise     | 0.05            |        64 |                0 |           4 |            |            0 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      |             |         0   |          0.5 |                  1 | True     |             |         0.7 |                  | gpu_hist      |  446.455 |     12.7139 |         2.45514  |  0.165234  |                    571 |                   0.951667 |             43 |       327075 |        4 |          327075 |           3 | PASSED       |     0.945304 |     121.813  |   1.83718  |          |        |
|          31 | lightgbm  | gbdt            |               0.6  | 0               | 20                      | 0                          | rmse          |   0.1   | 0        | depthwise     | 0.05            |       128 |                0 |           9 | 200        |            0 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      | 0.1         |         0   |          5   |                  1 | True     | 0.5         |         0.9 | 1                | gpu_hist      |  448.202 |     12.2062 |         2.81738  |  0.189614  |                    600 |                   1        |             43 |    100000000 |        8 |       100000000 |           8 | PASSED       |     0.94162  |    1944      |   1.96859  |          |        |
|          56 | gbtree    | gbdt            |               0.4  | 0               | 20                      | 0                          | rmse          |   0     | 0        | depthwise     | 0.02            |        64 |                0 |           5 |            |            0 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      |             |         0   |          2   |                  1 | True     |             |         0.9 |                  | gpu_hist      |  485.53  |     16.3564 |         2.45661  |  0.165333  |                    600 |                   1        |             43 |       165089 |       17 |          165089 |          17 | PASSED       |     0.869227 |     950.329  |   4.77697  |          |        |
|          60 | gbtree    | gbdt            |               0.8  | 0               | 20                      | 0                          | rmse          |   0     | 0        | lossguide     | 0.05            |       256 |                0 |           0 |            |           16 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      |             |         0   |          0.1 |                  1 | True     |             |         0.7 |                  | gpu_hist      |  488.582 |     15.4728 |         3.38257  |  0.227651  |                    598 |                   0.996667 |             43 |        82938 |        7 |           82938 |           5 | PASSED       |     0.863798 |     111.627  |   5.00655  |          |        |
|          52 | gbtree    | gbdt            |               0.45 | 0               | 20                      | 0                          | rmse          |   0     | 0        | lossguide     | 0.01            |       256 |                0 |           0 |            |            8 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      |             |         1   |          0   |                  1 | True     |             |         0.8 |                  | gpu_hist      |  501.237 |     17.7267 |         2.10495  |  0.141666  |                    600 |                   1        |             43 |       165089 |       14 |          165089 |          14 | PASSED       |     0.841989 |     112      |   5.95866  |          |        |
|          54 | gbtree    | gbdt            |               0.6  | 0               | 20                      | 0                          | rmse          |   0     | 0        | depthwise     | 0.02            |        64 |                0 |           5 |            |            0 |                   1 | 1                  |                 1 | True                       | 600            | 1        | 1             | reg:linear  | 667368647      |             |         0   |          0.1 |                  1 | True     |             |         0.7 |                  | gpu_hist      |  535.32  |     14.1176 |         2.98502  |  0.200896  |                    600 |                   1        |             43 |       165089 |       14 |          165089 |          12 | PASSED       |     0.788381 |     782.624  |   8.52286  |          |        |
